"query","mode","llm","variant","service_id","rank","relevance_pct","name","docs_url","api_base","ifs","support_verified","fca","error_handling_verified","auth_verified","reliability_verified","versioning_verified","scored_utc","sdas","pricing_verified","constraints_verified","code_samples_verified","ssi","integration_support_verified","required_keys_verified","best_probe_method","best_probe_status","best_probe_latency_ms","best_probe_bytes"
"music_v1","nonrag","claude","c","spotify__search_tracks","1","98","Spotify Web API Search","https://developer.spotify.com/documentation/web-api/reference/search","https://api.spotify.com","0.25","False","0.64","False","True","False","False","2025-10-28T22:47:08Z","0.363","True","False","False","0","False","False","GET","401","67","74"
"music_v1","nonrag","claude","c","deezer__search_track","2","96.5","Deezer Search API","https://developers.deezer.com/api/search","https://api.deezer.com","0.25","False","1","False","True","False","False","2025-10-28T22:47:05Z","0.525","True","False","False","0","False","True","GET","200","188","91"
"music_v1","nonrag","claude","c","apple_music__search_catalog","3","94.5","Apple Music API Search","https://developer.apple.com/documentation/applemusicapi/search_for_catalog_resources","https://api.music.apple.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:04Z","0.435","True","False","False","0","False","True","GET","401","61","0"
"music_v1","nonrag","claude","c","musicbrainz__recording_search","4","92","MusicBrainz Recording Search API","https://musicbrainz.org/doc/MusicBrainz_API","https://musicbrainz.org","0.25","False","0.48","False","True","False","False","2025-10-28T22:47:07Z","0.291","True","False","False","0","False","False","GET","400","198","-1"
"music_v1","nonrag","claude","c","lastfm__track_search","5","89.5","Last.fm Track Search API","https://www.last.fm/api/show/track.search","https://ws.audioscrobbler.com","0.25","False","1","False","True","False","False","2025-10-28T22:47:06Z","0.525","True","False","False","0","False","True","GET","200","67","151"
"music_v1","nonrag","claude","c","discogs__database_search","6","87","Discogs Database Search API","https://www.discogs.com/developers/#page:database,header:database-search","https://api.discogs.com","0.25","False","0.8","False","True","False","False","2025-10-28T22:47:05Z","0.435","True","False","False","0","False","True","GET","401","51","61"
"music_v1","nonrag","claude","c","shazam__track_search","7","84.5","Shazam Core API Search","https://rapidapi.com/apidojo/api/shazam-core","https://shazam-core.p.rapidapi.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:47:08Z","0.291","True","False","False","0","False","False","GET","429","36","-1"
"music_v1","nonrag","claude","c","napster__track_search","8","82","Napster Catalog Search API","https://developer.napster.com/api/v2.2","https://api.napster.com","0.25","False","0.64","False","True","False","False","2025-10-28T22:47:07Z","0.363","True","False","False","0","False","False","GET","401","63","53"
"music_v1","nonrag","claude","c","jamendo__track_search","9","79.5","Jamendo Music API","https://developer.jamendo.com/v3.0/tracks","https://api.jamendo.com","0.25","False","1","False","True","False","False","2025-10-28T22:47:06Z","0.525","True","False","False","0","False","True","GET","200","229","176"
"music_v1","nonrag","claude","c","theaudiodb__track_search","10","77","TheAudioDB Track Search API","https://www.theaudiodb.com/api_guide.php","https://www.theaudiodb.com","0.25","False","0.48","False","True","False","False","2025-10-28T22:47:09Z","0.291","True","False","False","0","False","False","GET","404","184","-1"
